date,value
2014/10/22,16.1
2014/10/23,14.3
2014/10/24,16.7
2014/10/25,18.3
2014/10/26,20.1
2014/10/27,19.3
2014/10/28,15.8
2014/10/29,16.4
2014/10/30,16.8
2014/10/31,18.4
2014/11/1,16.8
2014/11/2,19.5
2014/11/3,18
2014/11/4,16.2
2014/11/5,15.2
2014/11/6,17.7
2014/11/7,17.7
2014/11/8,14.1
2014/11/9,14.9
2014/11/10,17.8
2014/11/11,14.5
2014/11/12,14.1
2014/11/13,15
2014/11/14,12.8
2014/11/15,12.7
2014/11/16,12.5
2014/11/17,12.1
2014/11/18,12.9
2014/11/19,12.1
2014/11/20,9.1
2014/11/21,12.3
2014/11/22,13.8
2014/11/23,14.1
2014/11/24,13.2
2014/11/25,11.1
2014/11/26,9.2
2014/11/27,12.9
2014/11/28,14.1
2014/11/29,13.8
2014/11/30,15.1
2014/12/1,13.5
2014/12/2,10.8
2014/12/3,8.2
2014/12/4,8.8
2014/12/5,8.3
2014/12/6,5.1
2014/12/7,6.2
2014/12/8,6.6
2014/12/9,7.3
2014/12/10,7.3
2014/12/11,9.6
2014/12/12,9.3
2014/12/13,7
2014/12/14,4.8
2014/12/15,5.3
2014/12/16,3.6
2014/12/17,4.3
2014/12/18,4
2014/12/19,5.4
2014/12/20,5.3
2014/12/21,8.6
2014/12/22,7.1
2014/12/23,6.3
2014/12/24,5.9
2014/12/25,6.3
2014/12/26,5.1
2014/12/27,4.6
2014/12/28,3.8
2014/12/29,4.2
2014/12/30,6.6
2014/12/31,8
